archivo_origen,tabla,politica,comando,roles,definicion
"01_schema_supabase_v1.sql","pago","Registrar pago (Caja y Admin)","INSERT","authenticated","USING () WITH CHECK (public.obtener_mi_rol() IN ('CAJA', 'ADMIN'))"
"01_schema_supabase_v1.sql","auditoria","Lectura auditoría (Supervisión y Admin)","SELECT","authenticated","USING (public.obtener_mi_rol() IN ('SUPERVISION', 'ADMIN')) WITH CHECK ()"
"01_schema_supabase_v1.sql","auditoria","Registro de auditoría para todos","INSERT","authenticated","USING () WITH CHECK (true)"
"02_multisede_y_cuentas_v1.sql","encuentro","Ver encuentros multisede","SELECT","authenticated","USING (public.obtener_mi_rol() IN ('SUPERVISION', 'ADMIN') OR site_id = public.obtener_mi_site_id()) WITH CHECK ()"
"02_multisede_y_cuentas_v1.sql","encuentro","Crear encuentro en sede propia","INSERT","authenticated","USING () WITH CHECK ((public.obtener_mi_rol() = 'RECEPCION' AND site_id = public.obtener_mi_site_id()) OR public.obtener_mi_rol() = 'ADMIN')"
"02_multisede_y_cuentas_v1.sql","encuentro","Actualizar encuentro en sede propia","UPDATE","authenticated","USING ((public.obtener_mi_rol() IN ('RECEPCION', 'PROFESIONAL') AND site_id = public.obtener_mi_site_id()) OR public.obtener_mi_rol() = 'ADMIN') WITH CHECK ()"
"02_multisede_y_cuentas_v1.sql","orden_pago","Ver órdenes de pago por sede","SELECT","authenticated","USING (public.obtener_mi_rol() IN ('SUPERVISION', 'ADMIN') OR site_id = public.obtener_mi_site_id() OR site_id IS NULL -- Para órdenes históricas migadas) WITH CHECK ()"
"02_multisede_y_cuentas_v1.sql","orden_pago","Crear órdenes de pago por sede","INSERT","authenticated","USING () WITH CHECK ((public.obtener_mi_rol() IN ('RECEPCION', 'CAJA') AND (site_id = public.obtener_mi_site_id() OR site_id IS NULL)) OR public.obtener_mi_rol() = 'ADMIN')"
"02_multisede_y_cuentas_v1.sql","orden_pago","Cobrar orden en sede propia","UPDATE","authenticated","USING ((public.obtener_mi_rol() = 'CAJA' AND (site_id = public.obtener_mi_site_id() OR site_id IS NULL)) OR public.obtener_mi_rol() = 'ADMIN') WITH CHECK ()"
"02_multisede_y_cuentas_v1.sql","nota_clinica","Lectura médica de notas clínicas por sede y acto médico","SELECT","authenticated","USING (public.obtener_mi_rol() IN ('SUPERVISION', 'ADMIN') OR ( public.obtener_mi_rol() = 'PROFESIONAL' AND EXISTS ( SELECT 1 FROM public.encuentro e WHERE e.id = encuentro_id AND e.site_id = public.obtener_mi_site_id() ) )) WITH CHECK ()"
"03_paso2_politicas_rls.sql","nota_clinica","Zero Trust: Lectura exclusiva médicos y auditores","SELECT","authenticated","USING (public.obtener_mi_rol_estricto() IN ('SUPERVISION', 'ADMIN') OR ( public.obtener_mi_rol_estricto() = 'PROFESIONAL' AND EXISTS ( SELECT 1 FROM public.encuentro e WHERE e.id = encuentro_id AND e.site_id = (SELECT site_id FROM public.perfil_usuario WHERE id = auth.uid()) ) )) WITH CHECK ()"
"03_paso2_politicas_rls.sql","nota_clinica","Zero Trust: Inserción exclusiva personal asistencial","INSERT","authenticated","USING () WITH CHECK (public.obtener_mi_rol_estricto() IN ('PROFESIONAL', 'ADMIN'))"
"03_paso2_politicas_rls.sql","nota_clinica","Zero Trust: Autosave continuo de notas propias","UPDATE","authenticated","USING (public.obtener_mi_rol_estricto() IN ('PROFESIONAL', 'ADMIN') AND EXISTS ( SELECT 1 FROM public.encuentro e WHERE e.id = encuentro_id AND (e.site_id = (SELECT site_id FROM public.perfil_usuario WHERE id = auth.uid()) OR public.obtener_mi_rol_estricto() = 'ADMIN') )) WITH CHECK ()"
"03_paso2_politicas_rls.sql","paciente","Zero Trust: Búsqueda y visualización de pacientes","SELECT","authenticated","USING (true) WITH CHECK ()"
"03_paso2_politicas_rls.sql","paciente","Zero Trust: Registro ágil de pacientes","INSERT","authenticated","USING () WITH CHECK (public.obtener_mi_rol_estricto() IN ('RECEPCION_CAJA', 'RECEPCION', 'CAJA', 'PROFESIONAL', 'ADMIN'))"
"03_paso2_politicas_rls.sql","paciente","Zero Trust: Actualización datos filiación","UPDATE","authenticated","USING (public.obtener_mi_rol_estricto() IN ('RECEPCION_CAJA', 'RECEPCION', 'CAJA', 'PROFESIONAL', 'ADMIN')) WITH CHECK ()"
"03_paso2_politicas_rls.sql","orden_pago","Zero Trust: Gestión de órdenes y caja","SELECT","authenticated","USING (public.obtener_mi_rol_estricto() IN ('SUPERVISION', 'ADMIN') OR site_id = (SELECT site_id FROM public.perfil_usuario WHERE id = auth.uid())) WITH CHECK ()"
"03_paso2_politicas_rls.sql","orden_pago","Zero Trust: Generación de tickets y cobro","INSERT","authenticated","USING () WITH CHECK (public.obtener_mi_rol_estricto() IN ('RECEPCION_CAJA', 'RECEPCION', 'CAJA', 'ADMIN'))"
"03_paso2_politicas_rls.sql","orden_pago","Zero Trust: Cobro inmediato y liquidación","UPDATE","authenticated","USING (public.obtener_mi_rol_estricto() IN ('RECEPCION_CAJA', 'CAJA', 'ADMIN')) WITH CHECK ()"
"03_paso2_politicas_rls.sql","pago","Zero Trust: Emisión de pagos por operador","INSERT","authenticated","USING () WITH CHECK (public.obtener_mi_rol_estricto() IN ('RECEPCION_CAJA', 'CAJA', 'ADMIN'))"
"03_zero_trust_enterprise_rls.sql","nota_clinica","Zero Trust: Lectura exclusiva médicos y auditores","SELECT","authenticated","USING (public.obtener_mi_rol_estricto() IN ('SUPERVISION', 'ADMIN') OR ( public.obtener_mi_rol_estricto() = 'PROFESIONAL' AND EXISTS ( SELECT 1 FROM public.encuentro e WHERE e.id = encuentro_id AND e.site_id = (SELECT site_id FROM public.perfil_usuario WHERE id = auth.uid()) ) )) WITH CHECK ()"
"03_zero_trust_enterprise_rls.sql","nota_clinica","Zero Trust: Inserción exclusiva médico asignado","INSERT","authenticated","USING () WITH CHECK (public.obtener_mi_rol_estricto() IN ('PROFESIONAL', 'ADMIN'))"
"03_zero_trust_enterprise_rls.sql","nota_clinica","Zero Trust: Autoguardado de borrador antes de sellado","UPDATE","authenticated","USING (public.obtener_mi_rol_estricto() IN ('PROFESIONAL', 'ADMIN') AND cerrada = false) WITH CHECK ()"
"03_zero_trust_enterprise_rls.sql","adenda","Zero Trust: Lectura médica de adendas","SELECT","authenticated","USING (public.obtener_mi_rol_estricto() IN ('PROFESIONAL', 'SUPERVISION', 'ADMIN')) WITH CHECK ()"
"03_zero_trust_enterprise_rls.sql","adenda","Zero Trust: Creación de adenda médica","INSERT","authenticated","USING () WITH CHECK (public.obtener_mi_rol_estricto() IN ('PROFESIONAL', 'ADMIN'))"
"03_zero_trust_enterprise_rls.sql","paciente","Zero Trust: Registro y gestión de pacientes","ALL","authenticated","USING (public.obtener_mi_rol_estricto() IN ('RECEPCION_CAJA', 'RECEPCION', 'PROFESIONAL', 'SUPERVISION', 'ADMIN')) WITH CHECK ()"
"03_zero_trust_enterprise_rls.sql","encuentro","Zero Trust: Encuentros por sede física","SELECT","authenticated","USING (public.obtener_mi_rol_estricto() IN ('SUPERVISION', 'ADMIN') OR site_id = (SELECT site_id FROM public.perfil_usuario WHERE id = auth.uid())) WITH CHECK ()"
"03_zero_trust_enterprise_rls.sql","encuentro","Zero Trust: Admisión en sede asignada","INSERT","authenticated","USING () WITH CHECK ((public.obtener_mi_rol_estricto() IN ('RECEPCION_CAJA', 'RECEPCION') AND site_id = (SELECT site_id FROM public.perfil_usuario WHERE id = auth.uid())) OR public.obtener_mi_rol_estricto() = 'ADMIN')"
"03_zero_trust_enterprise_rls.sql","orden_pago","Zero Trust: Órdenes de cobro por operador","SELECT","authenticated","USING (public.obtener_mi_rol_estricto() IN ('RECEPCION_CAJA', 'CAJA', 'SUPERVISION', 'ADMIN')) WITH CHECK ()"
"03_zero_trust_enterprise_rls.sql","orden_pago","Zero Trust: Creación de órdenes en ventanilla","INSERT","authenticated","USING () WITH CHECK (public.obtener_mi_rol_estricto() IN ('RECEPCION_CAJA', 'CAJA', 'ADMIN'))"
"03_zero_trust_enterprise_rls.sql","orden_pago","Zero Trust: Cobro inmediato y liquidación","UPDATE","authenticated","USING (public.obtener_mi_rol_estricto() IN ('RECEPCION_CAJA', 'CAJA', 'ADMIN')) WITH CHECK ()"
"03_zero_trust_enterprise_rls.sql","pago","Zero Trust: Emisión de pagos por operador","INSERT","authenticated","USING () WITH CHECK (public.obtener_mi_rol_estricto() IN ('RECEPCION_CAJA', 'CAJA', 'ADMIN'))"
"04_ciclo_caja_gastos_turnos.sql","caja_turno","Lectura turnos caja autorizados","SELECT","authenticated","USING (public.obtener_mi_rol_estricto() IN ('SUPERVISION', 'ADMIN') OR site_id = (SELECT site_id FROM public.perfil_usuario WHERE id = auth.uid())) WITH CHECK ()"
"04_ciclo_caja_gastos_turnos.sql","caja_turno","Apertura de turno de caja","INSERT","authenticated","USING () WITH CHECK (public.obtener_mi_rol_estricto() IN ('RECEPCION_CAJA', 'RECEPCION', 'CAJA', 'ADMIN'))"
"04_ciclo_caja_gastos_turnos.sql","caja_turno","Cierre y actualización de turno","UPDATE","authenticated","USING (public.obtener_mi_rol_estricto() IN ('RECEPCION_CAJA', 'RECEPCION', 'CAJA', 'ADMIN')) WITH CHECK ()"
"04_ciclo_caja_gastos_turnos.sql","caja_egreso","Lectura egresos autorizados","SELECT","authenticated","USING (public.obtener_mi_rol_estricto() IN ('SUPERVISION', 'ADMIN') OR site_id = (SELECT site_id FROM public.perfil_usuario WHERE id = auth.uid())) WITH CHECK ()"
"04_ciclo_caja_gastos_turnos.sql","caja_egreso","Registrar egreso de caja","INSERT","authenticated","USING () WITH CHECK (public.obtener_mi_rol_estricto() IN ('RECEPCION_CAJA', 'RECEPCION', 'CAJA', 'ADMIN'))"
"06_padron_oficial_purga_y_realtime.sql","cita_reagendada","Gestion citas reagendadas personal","ALL","authenticated","USING (true) WITH CHECK (true)"
"07_fix_admin_colaboradores_y_rls.sql","perfil_usuario","Admin gestiona perfiles colaboradores","ALL","authenticated","USING (public.obtener_mi_rol_estricto() = 'ADMIN' OR id = auth.uid()) WITH CHECK (public.obtener_mi_rol_estricto() = 'ADMIN' OR id = auth.uid())"
"08_purgar_cuentas_obsoletas_y_eliminar.sql","perfil_usuario","Admin elimina perfiles colaboradores","DELETE","authenticated","USING (public.obtener_mi_rol_estricto() = 'ADMIN' AND email <> 'admin@lasmellizasperu.com') WITH CHECK ()"
"09_actualizar_email_rpc_y_citas.sql","perfil_usuario","Admin actualiza perfiles colaboradores","UPDATE","authenticated","USING (public.obtener_mi_rol_estricto() = 'ADMIN' OR id = auth.uid()) WITH CHECK (public.obtener_mi_rol_estricto() = 'ADMIN' OR id = auth.uid())"
"10_fix_admision_hce_realtime_y_flujo.sql","encuentro","Encuentros: Lectura autorizada","SELECT","authenticated","USING (true) WITH CHECK ()"
"10_fix_admision_hce_realtime_y_flujo.sql","encuentro","Encuentros: Inserción autorizada","INSERT","authenticated","USING () WITH CHECK (public.obtener_mi_rol() IN ('RECEPCION_CAJA', 'RECEPCION', 'CAJA', 'SUPERVISION', 'ADMIN') OR public.obtener_mi_rol_estricto() IN ('RECEPCION_CAJA', 'RECEPCION', 'CAJA', 'SUPERVISION', 'ADMIN') OR true)"
"10_fix_admision_hce_realtime_y_flujo.sql","encuentro","Encuentros: Actualización autorizada","UPDATE","authenticated","USING (true) WITH CHECK (true)"
"10_fix_admision_hce_realtime_y_flujo.sql","paciente","Pacientes: Acceso total personal autenticado","ALL","authenticated","USING (true) WITH CHECK (true)"
"10_fix_admision_hce_realtime_y_flujo.sql","orden_pago","Ordenes Pago: Acceso total caja y admision","ALL","authenticated","USING (true) WITH CHECK (true)"
"10_fix_admision_hce_realtime_y_flujo.sql","pago","Pagos: Acceso total caja y admision","ALL","authenticated","USING (true) WITH CHECK (true)"
"11_fix_edicion_colaboradores_y_rls.sql","perfil_usuario","Admin y usuarios gestionan perfiles","UPDATE","authenticated","USING (public.obtener_mi_rol_estricto() = 'ADMIN' OR (SELECT email FROM auth.users WHERE id = auth.uid()) = 'admin@lasmellizasperu.com' OR id = auth.uid()) WITH CHECK (public.obtener_mi_rol_estricto() = 'ADMIN' OR (SELECT email FROM auth.users WHERE id = auth.uid()) = 'admin@lasmellizasperu.com' OR id = auth.uid())"
"11_fix_edicion_colaboradores_y_rls.sql","perfil_usuario","Lectura perfiles","SELECT","authenticated","USING (true) WITH CHECK ()"
"12_purga_datos_sinteticos_y_modulo_inventario.sql","producto_inventario","Inventario: Lectura para usuarios autenticados","SELECT","authenticated","USING (true) WITH CHECK ()"
"12_purga_datos_sinteticos_y_modulo_inventario.sql","producto_inventario","Inventario: Gestión completa supervisores y admin","ALL","authenticated","USING (true) WITH CHECK (true)"
"12_purga_datos_sinteticos_y_modulo_inventario.sql","movimiento_inventario","Movimientos: Lectura para usuarios autenticados","SELECT","authenticated","USING (true) WITH CHECK ()"
"12_purga_datos_sinteticos_y_modulo_inventario.sql","movimiento_inventario","Movimientos: Registro por personal autenticado","INSERT","authenticated","USING () WITH CHECK (true)"
"12_purga_datos_sinteticos_y_modulo_inventario.sql","caja_egreso","Eliminar egresos autorizados","DELETE","authenticated","USING (true) WITH CHECK ()"
"16_fix_caja_turno_fondo_inicial_y_rls.sql","caja_turno","Apertura de turno de caja","INSERT","authenticated, anon","USING () WITH CHECK (true)"
"16_fix_caja_turno_fondo_inicial_y_rls.sql","caja_turno","Lectura turnos caja autorizados","SELECT","authenticated, anon","USING (true) WITH CHECK ()"
"16_fix_caja_turno_fondo_inicial_y_rls.sql","caja_turno","Cierre y actualización de turno","UPDATE","authenticated, anon","USING (true) WITH CHECK (true)"
"16_fix_caja_turno_fondo_inicial_y_rls.sql","caja_egreso","Lectura egresos autorizados","SELECT","authenticated, anon","USING (true) WITH CHECK ()"
"16_fix_caja_turno_fondo_inicial_y_rls.sql","caja_egreso","Registrar egreso de caja","INSERT","authenticated, anon","USING () WITH CHECK (true)"
"16_fix_caja_turno_fondo_inicial_y_rls.sql","caja_egreso","Eliminar o anular egreso de caja","DELETE","authenticated, anon","USING (true) WITH CHECK ()"
